part_id,round,contract_status,candidate_gate,accepted,regression,implementation_failure,resulting_state,post_review_pass,new_failed_gates,improved,voxel_iou,normalized_chamfer,normalized_hd95,gate_status
R02_P03,1,REPLAN,LOCAL_REPAIR,False,True,,REPLAN,False,[],True,0.31322613625801654,0.05272243265962239,0.28066052210765713,LOCAL_REPAIR
R02_P03,2,REPLAN,LOCAL_REPAIR,False,True,,REPLAN,False,[],True,0.27303701409323217,0.05806552126037294,0.2772195300850888,LOCAL_REPAIR
R02_P03,3,REPLAN,LOCAL_REPAIR,False,True,,UNRESOLVED,False,[],True,0.2196872908681633,0.06678891958973183,0.27171552877170885,LOCAL_REPAIR
R02_P04,1,LOCAL_REPAIR,PASS,True,False,,REPLAN,False,[],True,0.5257428077346329,0.03186544083627711,0.09246111953115947,PASS
R02_P04,2,REPLAN,LOCAL_REPAIR,False,True,,REPLAN,False,"['iou', 'normalized_hd95']",False,0.2843211873275616,0.07127741647053243,0.1840438621001903,LOCAL_REPAIR
R02_P04,3,REPLAN,PASS,False,True,,UNRESOLVED,False,[],False,0.46375862201841933,0.03637700058222651,0.09562150418716978,PASS
R02_P05,1,REPLAN,LOCAL_REPAIR,True,False,,LOCAL_REPAIR,False,[],True,0.27269110439987704,0.07419291294319791,0.22555218501785418,LOCAL_REPAIR
R02_P05,2,LOCAL_REPAIR,LOCAL_REPAIR,False,True,,LOCAL_REPAIR,False,[],True,0.4013758125163961,0.05853945013694419,0.2429459483715357,LOCAL_REPAIR
R02_P05,3,LOCAL_REPAIR,LOCAL_REPAIR,True,False,,UNRESOLVED,False,[],True,0.3356858778362721,0.068570561802733,0.20474605264325335,LOCAL_REPAIR
R02_P06,1,REPLAN,LOCAL_REPAIR,True,False,,LOCAL_REPAIR,False,[],True,0.199124309918142,0.052381394642282426,0.1667128446506915,LOCAL_REPAIR
R02_P06,2,LOCAL_REPAIR,LOCAL_REPAIR,False,True,,LOCAL_REPAIR,False,['normalized_hd95'],True,0.21139409247176033,0.05339779867230355,0.1902577502822656,LOCAL_REPAIR
R02_P06,3,LOCAL_REPAIR,LOCAL_REPAIR,True,False,,UNRESOLVED,False,[],False,0.20341924288193328,0.05196465921102015,0.168930209583372,LOCAL_REPAIR
