prototype_index,entity_id,manufacturer,name,source,urdf_path,render_paths,prompt_text
11,arm-42e898b1a2,Mecademic Robotics,Meca500-R3,matlab,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\mecademic_description\urdf\meca500r3.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-42e898b1a2\\11_arm-42e898b1a2_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-42e898b1a2\\11_arm-42e898b1a2_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-42e898b1a2\\11_arm-42e898b1a2_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-42e898b1a2\\11_arm-42e898b1a2_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-42e898b1a2\\11_arm-42e898b1a2_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-42e898b1a2\\11_arm-42e898b1a2_iso.png""]","Generate a complete articulated robot arm with 7 links and 6 joints (6 actuated; 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
12,arm-10f5f05385,Quanser,QArm,matlab,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\qarm_description\urdf\quanserQArm.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-10f5f05385\\12_arm-10f5f05385_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-10f5f05385\\12_arm-10f5f05385_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-10f5f05385\\12_arm-10f5f05385_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-10f5f05385\\12_arm-10f5f05385_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-10f5f05385\\12_arm-10f5f05385_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-10f5f05385\\12_arm-10f5f05385_iso.png""]","Generate a complete articulated robot arm with 6 links and 5 joints (4 actuated; 1 fixed, 4 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
13,arm-d55f01b988,ROBOTIS,Open Manipulator,matlab,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\open_manipulator_description\urdf\robotisOpenManipulator.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-d55f01b988\\13_arm-d55f01b988_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-d55f01b988\\13_arm-d55f01b988_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-d55f01b988\\13_arm-d55f01b988_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-d55f01b988\\13_arm-d55f01b988_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-d55f01b988\\13_arm-d55f01b988_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-d55f01b988\\13_arm-d55f01b988_iso.png""]","Generate a complete articulated robot arm with 9 links and 8 joints (6 actuated; 2 fixed, 2 prismatic, 4 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
14,arm-551a9c392e,Rethink Robotics,Sawyer,matlab,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\sawyer_description\urdf\rethinkSawyer.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-551a9c392e\\14_arm-551a9c392e_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-551a9c392e\\14_arm-551a9c392e_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-551a9c392e\\14_arm-551a9c392e_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-551a9c392e\\14_arm-551a9c392e_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-551a9c392e\\14_arm-551a9c392e_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-551a9c392e\\14_arm-551a9c392e_iso.png""]","Generate a complete articulated robot arm with 21 links and 20 joints (8 actuated; 12 fixed, 8 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
15,arm-21b8992ec4,Schunk,LWA 4D,random,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\random\xacro_generated\schunk_modular_robotics\schunk_description\urdf\schunk_lwa4d.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-21b8992ec4\\15_arm-21b8992ec4_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-21b8992ec4\\15_arm-21b8992ec4_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-21b8992ec4\\15_arm-21b8992ec4_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-21b8992ec4\\15_arm-21b8992ec4_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-21b8992ec4\\15_arm-21b8992ec4_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-21b8992ec4\\15_arm-21b8992ec4_iso.png""]","Generate a complete articulated robot arm with 11 links and 10 joints (7 actuated; 3 fixed, 7 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
16,arm-0573e1e127,Staubli,TX-60,ros-industrial,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\xacro_generated\staubli\staubli_tx60_support\urdf\tx60.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-0573e1e127\\16_arm-0573e1e127_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-0573e1e127\\16_arm-0573e1e127_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-0573e1e127\\16_arm-0573e1e127_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-0573e1e127\\16_arm-0573e1e127_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-0573e1e127\\16_arm-0573e1e127_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-0573e1e127\\16_arm-0573e1e127_iso.png""]","Generate a complete articulated robot arm with 10 links and 9 joints (6 actuated; 3 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
17,arm-84f18dca29,Trossen Robotics,PhantomX Pincher,robotics-toolbox,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\pxpincher\urdf\pincher_arm.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-84f18dca29\\17_arm-84f18dca29_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-84f18dca29\\17_arm-84f18dca29_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-84f18dca29\\17_arm-84f18dca29_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-84f18dca29\\17_arm-84f18dca29_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-84f18dca29\\17_arm-84f18dca29_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-84f18dca29\\17_arm-84f18dca29_iso.png""]","Generate a complete articulated robot arm with 24 links and 23 joints (6 actuated; 17 fixed, 1 prismatic, 5 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
18,arm-d656d85ceb,Unimation,PUMA 560,robotics-toolbox,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\robotics-toolbox\puma560_description\urdf\puma560_robot.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-d656d85ceb\\18_arm-d656d85ceb_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-d656d85ceb\\18_arm-d656d85ceb_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-d656d85ceb\\18_arm-d656d85ceb_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-d656d85ceb\\18_arm-d656d85ceb_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-d656d85ceb\\18_arm-d656d85ceb_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-d656d85ceb\\18_arm-d656d85ceb_iso.png""]","Generate a complete articulated robot arm with 7 links and 6 joints (6 actuated; 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
19,arm-c83ebf2672,Universal Robots,UR10,matlab,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\matlab\ur_description\urdf\universalUR10.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-c83ebf2672\\19_arm-c83ebf2672_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-c83ebf2672\\19_arm-c83ebf2672_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-c83ebf2672\\19_arm-c83ebf2672_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-c83ebf2672\\19_arm-c83ebf2672_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-c83ebf2672\\19_arm-c83ebf2672_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-c83ebf2672\\19_arm-c83ebf2672_iso.png""]","Generate a complete articulated robot arm with 11 links and 10 joints (6 actuated; 4 fixed, 6 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
20,arm-3d848aeb52,Yaskawa Motoman,Motoman SIA10D,ros-industrial,D:\CADtest\papertest\go_nogo1\sources\urdf_files_dataset\urdf_files\ros-industrial\motoman\motoman_sia10d_support\urdf\sia10d.urdf,"[""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3d848aeb52\\20_arm-3d848aeb52_front.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3d848aeb52\\20_arm-3d848aeb52_rear.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3d848aeb52\\20_arm-3d848aeb52_left.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3d848aeb52\\20_arm-3d848aeb52_right.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3d848aeb52\\20_arm-3d848aeb52_top.png"", ""D:\\CADtest\\papertest\\go_nogo1\\results\\prototype_feasibility\\renders\\arm-3d848aeb52\\20_arm-3d848aeb52_iso.png""]","Generate a complete articulated robot arm with 10 links and 9 joints (7 actuated; 2 fixed, 7 revolute). Produce link-level mesh geometry plus a consistent URDF containing parent-child relations, joint types, axes, origins, limits, and a valid canonical pose."
